time_casa;time_visitante;total_gols_casa;total_gols_visitante;total_gols_jogo;total_escanteios_casa;total_escanteios_visitante;total_cartoes_amarelos_casa;total_cartoes_vermelhos_casa;total_cartoes_amarelos_visitante;total_cartoes_vermelhos_visitante;chutes_casa;chutes_visitanes;chutes_no_gol_casa;chutes_no_gol_visitante;chutes_fora_do_gol_casa;chutes_fora_do_gol_visitante;faltas_time_casa;faltas_time_visitante;posse_de_bola_casa;posse_de_bola_visitante;liga;qtd_torcedores;mes;dia;ano;key_home;key_away
chapecoense;asa;4;0;4;4;3;2;0;1;0;11;6;2;2;9;4;25;12;49;51;brazilserie;6130;10;1;2013;chapecoense_bra;asa_bra
ceara;icasa;1;0;1;4;2;5;1;5;1;9;7;4;0;5;7;13;24;48;52;southamerica;14359;10;1;2013;ceara_bra;icasa_bra
atleticogo;abc;0;1;1;7;6;4;0;4;0;11;6;3;3;8;3;14;20;47;53;southamerica;3246;10;1;2013;atleticogo_bra;abc_bra
guaratingueta;paysandu;1;1;2;7;6;2;0;3;0;10;16;5;8;5;8;20;17;52;48;brazilserie;1479;10;1;2013;guaratingueta_bra;paysandu_bra
sportrecife;joinville;3;2;5;4;6;2;0;3;0;12;10;6;3;6;7;14;18;48;52;brazilcopa;16046;10;1;2013;sportrecife_bra;joinville_bra
oeste;palmeiras;0;2;2;4;9;5;1;4;1;10;10;4;5;6;5;20;17;50;50;brazilserie;19133;10;2;2013;oeste_bra;palmeiras_bra
boa;figueirense;0;2;2;8;6;4;0;3;0;21;5;5;3;16;2;12;26;49;51;brazilserie;518;10;2;2013;boa_bra;figueirense_bra
avai;saocaetano;2;1;3;7;2;2;0;6;0;12;10;7;3;5;7;17;19;53;47;brazilcopa;4973;10;2;2013;avai_bra;saocaetano_bra
americarn;bragantino;0;2;2;12;5;2;1;7;1;19;9;6;0;13;9;19;33;48;52;brazilcopa;1404;10;2;2013;americarn_bra;bragantino_bra
parana;americamineiro;0;1;1;1;3;3;0;6;1;12;11;7;5;5;6;17;18;50;50;brazilcopa;5894;10;2;2013;parana_bra;americamineiro_bra
boa;oeste;0;4;4;3;8;3;1;2;0;12;15;5;6;7;9;17;25;50;50;brazilserie;3550;10;4;2013;boa_bra;oeste_bra
icasa;guaratingueta;3;2;5;1;8;2;1;4;2;14;15;7;5;7;10;23;20;51;49;brazilserie;1944;10;4;2013;icasa_bra;guaratingueta_bra
sportrecife;americarn;3;0;3;7;4;2;0;0;0;14;10;8;3;6;7;17;13;53;47;brazilcopa;14423;10;4;2013;sportrecife_bra;americarn_bra
parana;avai;0;1;1;9;3;4;1;1;0;17;7;7;3;10;4;17;15;50;50;brazilcopa;5274;10;5;2013;parana_bra;avai_bra
asa;ceara;2;3;5;5;6;2;1;4;0;10;8;3;4;7;4;14;25;48;52;brazilserie;5465;10;5;2013;asa_bra;ceara_bra
figueirense;atleticogo;1;1;2;7;2;1;0;3;0;8;7;5;5;3;2;14;23;50;50;southamerica;6460;10;5;2013;figueirense_bra;atleticogo_bra
chapecoense;joinville;2;1;3;10;8;2;0;2;0;10;9;5;5;5;4;20;20;47;53;brazilserie;7075;10;5;2013;chapecoense_bra;joinville_bra
